transaction_id,customer_id,amount,merchant,merchant_category,location,country,device_id,ip_address,browser,timestamp,is_fraud,fraud_scenario,is_synthetic,risk_notes
SYN-TX-NORM-AE537C1302,SYN-CUST-00064,179.69,Shell Express Fuel (Synthetic),fuel_dispenser,Manchester,GB,SYN-DEV-00183-C22DCA,203.0.114.139,Safari 17.5 (iOS 17.5 iPhone),2026-08-29T12:50:41.943785+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-5F36089C0F,SYN-CUST-00084,36.68,Shell Express Fuel (Synthetic),fuel_dispenser,Paris,FR,SYN-DEV-00443-6F6548,192.0.4.243,Opera 113.0 (Windows 11),2026-08-29T12:50:42.787799+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-01E2AA9739,SYN-CUST-00213,118.59,Marriott Luxury Hotels (Synthetic),lodging,"Chicago, IL",US,SYN-DEV-00340-471A88,198.51.102.18,Firefox 130.0 (Windows 10),2026-08-29T12:50:54.098658+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-92F33B19DE,SYN-CUST-00200,96.62,Walgreens Pharmacy (Synthetic),pharmacy,"Toronto, ON",CA,SYN-DEV-00503-821F4F,198.18.0.152,Chrome 128.0 (macOS Sonoma),2026-08-29T12:56:10.315836+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-9E5FF93FEE,SYN-CUST-00046,82.89,Starbucks Coffee #1042 (Synthetic),dining,Munich,DE,SYN-DEV-00672-D46A94,192.0.3.164,Chrome 128.0 (Windows 11),2026-08-29T12:58:50.919139+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-659A5C086A,SYN-CUST-00054,76.25,Target Superstore #482 (Synthetic),retail,Munich,DE,SYN-DEV-00297-91637B,192.0.3.69,Chrome 128.0 (Windows 11),2026-08-29T13:01:06.292436+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-286DDCEF9F,SYN-CUST-00186,26.23,Walgreens Pharmacy (Synthetic),pharmacy,"New York, NY",US,SYN-DEV-00564-4317D2,198.51.100.210,Safari 17.5 (macOS Sonoma),2026-08-29T13:01:10.595904+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-97D351F953,SYN-CUST-00135,41.19,Starbucks Coffee #1042 (Synthetic),dining,Tokyo,JP,SYN-DEV-00509-ACCFFF,203.0.115.15,Firefox 130.0 (Linux x86_64),2026-08-29T13:02:52.306880+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-4D45B62084,SYN-CUST-00009,46.74,Shell Express Fuel (Synthetic),fuel_dispenser,"San Francisco, CA",US,SYN-DEV-00087-060273,198.51.101.226,Chrome 128.0 (Windows 11),2026-08-29T13:03:32.268177+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-B62982AFC5,SYN-CUST-00118,143.21,Starbucks Coffee #1042 (Synthetic),dining,"New York, NY",US,SYN-DEV-00221-45A9E8,198.51.100.79,Firefox 130.0 (Linux x86_64),2026-08-29T13:06:40.417582+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-C02DEA2D51,SYN-CUST-00113,88.55,Walgreens Pharmacy (Synthetic),pharmacy,"Austin, TX",US,SYN-DEV-00749-E9DD7B,198.51.103.89,Chrome 128.0 (macOS Sonoma),2026-08-29T13:08:15.040511+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-148B0D6551,SYN-CUST-00111,35.35,Best Buy Supercenter (Synthetic),electronics,"Chicago, IL",US,SYN-DEV-00163-17110F,198.51.102.39,Brave 1.69 (macOS),2026-08-29T13:11:38.645626+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-43874539A9,SYN-CUST-00184,276.27,FreshMart Supermarket (Synthetic),grocery,London,GB,SYN-DEV-00322-EE410B,203.0.113.4,Brave 1.69 (macOS),2026-08-29T13:13:08.260105+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-0C10384097,SYN-CUST-00246,3.5,Walgreens Pharmacy (Synthetic),pharmacy,Manchester,GB,SYN-DEV-00621-BBB178,203.0.114.158,Edge 128.0 (Windows 11),2026-08-29T13:17:50.110847+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-B91FA2D048,SYN-CUST-00003,136.18,Starbucks Coffee #1042 (Synthetic),dining,Manchester,GB,SYN-DEV-00415-2456FB,203.0.114.149,Chrome 128.0 (macOS Sonoma),2026-08-29T13:18:47.410738+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-6978BFF09F,SYN-CUST-00088,134.42,Chipotle Mexican Grill (Synthetic),dining,London,GB,SYN-DEV-00079-D9608B,203.0.113.189,Safari 17.5 (macOS Sonoma),2026-08-29T13:19:07.114647+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-5FD00BEDA7,SYN-CUST-00073,56.91,Netflix Subscription Service (Synthetic),digital_goods,Munich,DE,SYN-DEV-00740-BA8657,192.0.3.104,Firefox 130.0 (Windows 10),2026-08-29T13:21:38.468853+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-0DD3FC1D2F,SYN-CUST-00070,242.17,Chipotle Mexican Grill (Synthetic),dining,Paris,FR,SYN-DEV-00249-68DF6F,192.0.4.192,Safari 17.5 (macOS Sonoma),2026-08-29T13:22:50.925909+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-1FD261A492,SYN-CUST-00017,65.58,Amazon Marketplace Online (Synthetic),ecommerce,"Chicago, IL",US,SYN-DEV-00461-7B2861,198.51.102.57,Firefox 130.0 (Linux x86_64),2026-08-29T13:27:19.004608+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-49C4606EB8,SYN-CUST-00020,32.16,Shell Express Fuel (Synthetic),fuel_dispenser,"Sydney, NSW",AU,SYN-DEV-00065-15ED58,198.19.0.186,Samsung Internet 25.0 (Android 14),2026-08-29T13:30:19.747787+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-NORM-6A2BCBBD46,SYN-CUST-00174,78.74,Shell Express Fuel (Synthetic),fuel_dispenser,Berlin,DE,SYN-DEV-00234-2CD333,192.0.2.219,Safari 17.5 (iOS 17.5 iPhone),2026-08-29T13:32:35.669359+00:00,0,normal,True,Legitimate transaction conforming to historical customer baselines.
SYN-TX-HIGH-CFB704BD28,SYN-CUST-00075,2591.71,Apple Store Flagship (Synthetic),electronics,Munich,DE,SYN-DEV-00658-CEE544,192.0.3.174,Firefox 130.0 (Windows 10),2026-08-29T13:32:39.547356+00:00,1,high_amount_fraud,True,Abrupt amount anomaly: $2591.71 vs typical baseline $51.24 (>15x sigma).
