amount,hour_of_day,mcc,country,velocity_5m,velocity_1h,velocity_24h,user_30d_avg,amount_to_avg_ratio,is_foreign,is_night,is_high_risk_mcc,is_fraud
21.94,10,5812,US,1,3,6,101.11,0.22,0,0,0,0
21.28,18,4121,US,1,2,4,97.97,0.22,0,0,0,0
66.7,12,5411,FR,0,1,3,85.13,0.78,1,0,0,0
20.12,16,5912,US,0,0,0,69.66,0.29,0,0,0,0
110.69,10,4121,US,2,2,3,56.07,1.97,0,0,0,0
44.72,14,5912,US,0,0,1,74.7,0.6,0,0,0,0
123.1,15,5541,US,0,1,6,107.97,1.14,0,0,0,0
80.84,14,5541,US,0,1,3,113.68,0.71,0,0,0,0
17.7,17,5732,US,1,1,2,74.5,0.24,0,0,1,0
29.25,18,5912,US,0,1,3,117.04,0.25,0,0,0,0
170.2,5,5411,US,0,3,5,117.4,1.45,0,1,0,0
38.15,19,4121,US,0,2,6,91.26,0.42,0,0,0,0
43.46,16,5541,US,1,1,2,75.26,0.58,0,0,0,0
278.08,6,5812,CA,0,1,2,97.84,2.84,1,0,0,0
20.49,16,5814,US,0,2,5,137.28,0.15,0,0,0,0
114.01,16,5912,CA,0,1,2,63.41,1.8,1,0,0,0
39.3,13,5411,US,0,1,5,115.92,0.34,0,0,0,0
13.16,9,5411,US,0,1,3,115.59,0.11,0,0,0,0
16.44,9,5311,US,0,0,3,76.22,0.22,0,0,0,0
88.31,11,5814,US,0,1,4,89.84,0.98,0,0,0,0
169.48,17,5311,US,1,3,5,69.49,2.44,0,0,0,0
542.08,20,6051,RO,8,21,34,93.51,5.8,1,0,1,1
95.58,15,5912,US,0,0,2,72.96,1.31,0,0,0,0
68.86,22,4121,US,0,1,6,141.09,0.49,0,0,0,0
1818.99,4,5944,NG,3,4,10,52.98,34.33,1,1,1,1
87.58,16,5814,FR,0,2,4,135.33,0.65,1,0,0,0
20.78,10,5411,DE,1,1,1,127.69,0.16,1,0,0,0
72.58,14,5732,US,0,1,2,129.82,0.56,0,0,1,0
79.54,10,5732,US,0,1,5,121.06,0.66,0,0,1,0
40.23,6,5541,US,0,1,5,102.97,0.39,0,0,0,0
52.83,15,5912,US,0,0,0,147.41,0.36,0,0,0,0
38.7,13,5814,US,0,1,3,115.45,0.34,0,0,0,0
82.09,13,5411,US,0,0,1,110.95,0.74,0,0,0,0
33.18,11,5732,US,0,0,2,111.94,0.3,0,0,1,0
146.49,6,5814,US,2,2,4,87.45,1.68,0,0,0,0
54.23,17,5912,US,0,0,1,124.24,0.44,0,0,0,0
33.01,11,5912,US,0,0,0,62.73,0.53,0,0,0,0
52.84,11,5541,US,1,5,8,147.01,0.36,0,0,0,0
80.51,7,5812,US,0,0,3,133.98,0.6,0,0,0,0
28.98,9,5411,US,0,1,5,133.53,0.22,0,0,0,0
42.39,14,5541,US,0,2,3,88.85,0.48,0,0,0,0
20.01,17,5814,US,0,1,1,67.0,0.3,0,0,0,0
111.21,9,5732,US,0,0,2,93.23,1.19,0,0,1,0
81.77,14,5541,US,0,1,3,138.15,0.59,0,0,0,0
14.68,16,5311,US,0,0,1,118.82,0.12,0,0,0,0
7842.55,0,5944,RO,1,4,6,48.15,162.88,1,1,1,1
178.22,10,5814,US,0,1,1,87.85,2.03,0,0,0,0
54.61,19,4121,US,0,0,4,118.81,0.46,0,0,0,0
159.82,12,5732,US,1,3,4,149.12,1.07,0,0,1,0
29.16,12,4121,US,0,0,2,100.73,0.29,0,0,0,0
35.06,16,5311,US,0,3,4,107.75,0.33,0,0,0,0
5.04,23,5411,US,0,0,3,67.02,0.08,0,0,0,0
50.43,19,5311,US,0,0,3,97.75,0.52,0,0,0,0
14.73,12,5814,US,0,0,1,84.97,0.17,0,0,0,0
22.72,9,4121,US,0,1,2,113.7,0.2,0,0,0,0
133.87,10,5411,US,0,1,2,126.19,1.06,0,0,0,0
18.99,23,5912,US,0,1,2,78.94,0.24,0,0,0,0
30.38,9,5541,US,0,2,4,103.71,0.29,0,0,0,0
58.51,16,5814,US,1,4,8,149.98,0.39,0,0,0,0
76.01,16,5541,US,1,1,1,75.55,1.01,0,0,0,0
43.68,14,5812,US,0,1,3,62.66,0.7,0,0,0,0
27.51,14,5411,US,1,5,8,114.91,0.24,0,0,0,0
14.57,13,5814,US,0,1,5,83.81,0.17,0,0,0,0
159.21,10,5912,US,0,1,6,66.98,2.38,0,0,0,0
30.97,15,5311,US,0,1,4,122.16,0.25,0,0,0,0
7.85,12,5411,US,0,0,2,100.66,0.08,0,0,0,0
13.63,18,4121,US,0,2,4,128.18,0.11,0,0,0,0
74.84,15,5812,US,0,0,1,71.13,1.05,0,0,0,0
74.8,15,5411,US,0,1,3,50.59,1.48,0,0,0,0
32.89,13,4121,US,0,1,2,103.14,0.32,0,0,0,0
22.6,15,5311,US,0,0,1,142.9,0.16,0,0,0,0
45.69,11,5814,US,0,1,4,86.25,0.53,0,0,0,0
28.86,11,5912,US,1,2,5,136.05,0.21,0,0,0,0
100.69,18,5541,US,0,1,4,130.76,0.77,0,0,0,0
342.32,12,5732,RO,8,10,29,77.28,4.43,1,0,1,1
6.43,20,5812,DE,1,1,2,96.79,0.07,1,0,0,0
22.23,13,5311,US,0,1,2,117.91,0.19,0,0,0,0
228.4,18,5814,US,0,0,1,138.81,1.65,0,0,0,0
30.83,13,5411,US,0,0,0,79.34,0.39,0,0,0,0
19.3,8,4121,US,0,0,1,140.58,0.14,0,0,0,0
79.59,23,5541,US,0,2,2,53.7,1.48,0,0,0,0
32.47,13,5814,US,1,1,1,137.34,0.24,0,0,0,0
105.62,17,4121,US,0,1,2,133.31,0.79,0,0,0,0
68.19,18,5814,US,0,3,5,79.59,0.86,0,0,0,0
33.61,16,5812,US,0,2,2,79.5,0.42,0,0,0,0
17.99,20,5541,GB,0,0,3,67.0,0.27,1,0,0,0
11.68,9,4121,US,0,1,3,60.26,0.19,0,0,0,0
78.32,13,5411,US,0,2,3,58.19,1.35,0,0,0,0
171.86,14,5311,US,1,3,7,98.73,1.74,0,0,0,0
17.86,13,4121,US,0,1,1,55.55,0.32,0,0,0,0
84.56,17,5812,US,1,1,4,66.43,1.27,0,0,0,0
13.16,15,5732,US,1,2,5,137.88,0.1,0,0,1,0
57.66,12,5541,US,0,2,3,126.19,0.46,0,0,0,0
98.06,15,5541,US,0,1,4,52.31,1.87,0,0,0,0
